id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bulan,jumlah_kecelakaan,perkiraan_kerugian_materi,tahun
1,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,JANUARI,0,0,2023
2,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,FEBRUARI,0,0,2023
3,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MARET,0,0,2023
4,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,APRIL,0,0,2023
5,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MEI,2,30000000,2023
6,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,JUNI,0,0,2023
7,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,JULI,0,0,2023
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,AGUSTUS,0,0,2023
9,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SEPTEMBER,0,0,2023
10,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,OKTOBER,1,10000000,2023
11,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NOVEMBER,0,0,2023
12,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DESEMBER,0,0,2023
